category,symbol_or_family,evidence_source,classification,notes
build_state,clash95_recovered,CMakeLists.txt,present,Canonical recovered C static library target
build_state,clash95_bootstrap,CMakeLists.txt,present,SDL-backed executable target
build_state,clash95_cpp_core,commit 99e09cb1,removed,Historical parallel C++ target removed from active build
build_state,clash95_cpp_regen,commit 99e09cb1,removed,Historical parallel C++ executable removed from active build
source_layout,clash95.c,clash95.c,manifest,Sole recovered translation unit including src/recovered fragments
source_layout,legacy source paths,docs/SOURCE_LAYOUT.md,compatibility,Git symlinks preserve recovery tooling and archived path evidence
build_state,direct gcc link probe,build/clash95_unresolved.txt;build/platform_unresolved.txt;build/stubs_unresolved.txt,historical_blocked,Raw historical link audit predates the current CMake bootstrap composition
entrypoint,start -> sub_486369 -> _WinMain@16,clash95.map,canonical,Original entry chain from the binary map
entrypoint,main -> App_WinMain -> Bootstrap_RunRecoveredStartupPrelude,src/bootstrap/bootstrap_main.c,recovered_harness,Current host-side bootstrap chain
startup,main,build/clash95_unresolved.txt,historical,Direct raw link historically lacked a C entrypoint
startup,_wcpp_4_static_init__ / _wcpp_4_copy_array__,build/clash95_unresolved.txt;clash95.map,runtime,Core WCpp startup helpers remain part of legacy runtime recovery
startup,CRT_GetBootstrapThreadData / CRT_RegisterFinalizableObject,build/clash95_unresolved.txt,runtime,CRT runtime support remains quarantined or partially recovered
platform,Platform_MainWindowProc,src/platform/platform_sdl_runtime.c,host_seam,SDL implementation owns the host message and window seam
platform,CreateWindowExA / GetMessageA / DispatchMessageA,clash95.c;src/platform/platform_sdl_runtime.c,win32_shaped_seam,Recovered core retains Win32-shaped calls behind SDL adapters
media,AVIFileInit / AVIFileOpenA / AVIStreamRead,clash95.c;src/platform/platform_sdl_runtime.c,runtime,AVI runtime remains part of the recovery surface
graphics,DirectDrawCreate / CreateCompatibleDC / DeleteDC,clash95.c;src/platform/platform_sdl_runtime.c,platform_seam,Graphics setup remains behind host adapters
input,DirectInputCreateA,clash95.c;src/platform/platform_sdl_runtime.c,platform_seam,Input backend remains behind the SDL seam
audio,DirectSoundCreate / Audio_ReturnDSoundError,clash95.c;src/compatibility/decomp_runtime_stubs.c,platform_or_compatibility_seam,CSS_Init device-table recovery remains deferred
compiler,AST_AllocNode / AST_FreeNode / IO_OutWriteToken / IO_OutNewline,src/recovered/rules/clips,compiler_runtime,Recovered CLIPS object and compiler surface
memory,Mem_Alloc / nrealloc_ / memmove_ / memcpy_,src/recovered;src/compatibility/decomp_runtime_stubs.c,mixed_recovered_and_wrapper,Allocation semantics remain split between recovered code and quarantined host wrappers
control_flow,JUMPOUT,clash95.c,recovered,All 17 control-flow scars are recovered and zero JUMPOUT markers remain
quarantine,Compat_WcppCtorArrayStorage1m / Compat_WcppCtorArrayStorage1s,src/compatibility/decomp_runtime_stubs.c,quarantine,Wrapper-band helpers remain explicitly isolated
quarantine,CreateProcessA / CreateThread / WaitForSingleObject,src/compatibility/decomp_runtime_stubs.c,quarantine,Process and thread helpers require evidence before promotion
quarantine,fopen/fread/fwrite/strcmp/strlen/strrchr family,src/compatibility/decomp_runtime_stubs.c,wrapper,Host CRT and file wrappers remain explicitly isolated
runtime_route,direct /A0 scenario route,docs/archive/COMPILATION_PROGRESS.md,present,Route reaches map load player setup unit creation minimap vision and remains live under SDL timeout
rendering,sub_402E80 minimap frame blit,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,deferred,Compact-vtable callsites remain intentionally deferred
runtime_route,direct /A0 unit-stack merge/delete,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,present,Reached army-fact recursion and unit merge or delete crashes are repaired in recovered C
runtime_validation,direct /A0 CTest smoke,CMakeLists.txt;tests/verify_direct_a0_route_smoke.sh,present,Direct /A0 liveness is covered for clash95_bootstrap
runtime_route,direct /A0 new-turn corridor,docs/archive/COMPILATION_PROGRESS.md,present,Route reaches strategic new-turn systems under debugger timeout
runtime_wrapper,low32 small-allocation arena,src/compatibility/decomp_runtime_stubs.c,wrapper,Low-address allocation preserves original 32-bit pointer storage
memory,sub_472860 free-list traversal,src/recovered/media/00472B00_media_part2.inc.c,host_width_fix,Free-list links are traversed as recovered 32-bit addresses rather than host pointers
